ft,zt,wo_len,ft2,zpt
0.000000,0.000000,0.000000,0.000000,0.013408
0.017394,0.000000,0.000000,0.017394,0.030445
0.034785,0.000000,0.012024,0.034785,0.044493
0.052168,0.037583,0.012024,0.052168,0.060839
0.069540,0.044135,0.017802,0.069540,0.076618
0.086896,0.070765,0.017802,0.086896,0.091565
0.104233,0.077128,0.022597,0.104233,0.099576
0.121547,0.101655,0.022597,0.121547,0.118660
0.138834,0.107607,0.028425,0.138834,0.135485
0.156091,0.133519,0.028425,0.156091,0.148493
0.173313,0.139594,0.035209,0.173313,0.161955
0.190497,0.166737,0.035209,0.190497,0.176081
0.207639,0.173464,0.041807,0.207639,0.198603
0.224736,0.200653,0.041807,0.224736,0.219459
0.241783,0.207680,0.047764,0.241783,0.235600
0.258778,0.233828,0.047764,0.258778,0.248657
0.275715,0.241668,0.053133,0.275715,0.270250
0.292592,0.268574,0.053133,0.292592,0.288895
0.309405,0.276301,0.057947,0.309405,0.305865
0.326150,0.301998,0.057947,0.326150,0.323786
0.342824,0.309593,0.062450,0.342824,0.336861
0.359423,0.337078,0.062450,0.359423,0.358712
0.375943,0.346332,0.066195,0.375943,0.379830
0.392382,0.371750,0.066195,0.392382,0.399337
0.408735,0.380732,0.069405,0.408735,0.416419
0.424999,0.404148,0.069405,0.424999,0.430962
0.441170,0.415472,0.072048,0.441170,0.452307
0.457246,0.439806,0.072048,0.457246,0.468135
0.473223,0.450146,0.074163,0.473223,0.481538
0.489097,0.472805,0.074163,0.489097,0.493950
0.504865,0.482409,0.076023,0.504865,0.504678
0.520524,0.506309,0.076023,0.520524,0.520993
0.536071,0.517726,0.077390,0.536071,0.536197
0.551503,0.539211,0.077390,0.551503,0.554431
0.566815,0.550421,0.078481,0.566815,0.567847
0.582007,0.569059,0.078481,0.582007,0.578348
0.597073,0.582706,0.079326,0.597073,0.595399
0.612012,0.602529,0.079326,0.612012,0.614410
0.626819,0.614900,0.079937,0.626819,0.629061
0.641494,0.632004,0.079937,0.641494,0.639807
0.656031,0.642286,0.080565,0.656031,0.651451
0.670430,0.662049,0.080565,0.670430,0.671276
0.684686,0.673505,0.081025,0.684686,0.686530
0.698797,0.690141,0.081025,0.698797,0.699819
0.712760,0.699824,0.081517,0.712760,0.713255
0.726574,0.715864,0.081517,0.726574,0.727422
0.740234,0.724343,0.082127,0.740234,0.738199
0.753740,0.742390,0.082127,0.753740,0.753775
0.767087,0.752316,0.082718,0.767087,0.764415
0.780274,0.768276,0.082718,0.780274,0.775530
0.793299,0.776532,0.083436,0.793299,0.782008
0.806159,0.792173,0.083436,0.806159,0.792593
0.818852,0.799557,0.084350,0.818852,0.800421
0.831376,0.817484,0.084350,0.831376,0.817188
0.843728,0.825622,0.085271,0.843728,0.829696
0.855906,0.841419,0.085271,0.855906,0.844563
0.867910,0.848556,0.086337,0.867910,0.859115
0.879735,0.864286,0.086337,0.879735,0.869184
0.891382,0.870764,0.087568,0.891382,0.881084
0.902847,0.888124,0.087568,0.902847,0.899062
0.914129,0.896269,0.088667,0.914129,0.912863
0.925227,0.911638,0.088667,0.925227,0.924741
0.936139,0.918776,0.089753,0.936139,0.935803
0.946862,0.932812,0.089753,0.946862,0.946300
0.957396,0.939530,0.090867,0.957396,0.954287
0.967740,0.953089,0.090867,0.967740,0.958930
0.977891,0.960605,0.091924,0.977891,0.971803
0.987849,0.975607,0.091924,0.987849,0.982744
0.997612,0.983224,0.092773,0.997612,0.992342
1.007179,0.995238,0.092773,1.007179,1.004468
1.016549,1.000711,0.093658,1.016549,1.012548
1.025721,1.013443,0.093658,1.025721,1.020496
1.034694,1.018832,0.094516,1.034694,1.030129
1.043467,1.030156,0.094516,1.043467,1.036206
1.052040,1.035340,0.095399,1.052040,1.042134
1.060410,1.049709,0.095399,1.060410,1.054749
1.068578,1.056846,0.095994,1.068578,1.066945
1.076543,1.067959,0.095994,1.076543,1.075443
1.084305,1.074412,0.096456,1.084305,1.082213
1.091863,1.085091,0.096456,1.091863,1.086641
1.099216,1.090878,0.096810,1.099216,1.093114
1.106364,1.099551,0.096810,1.106364,1.101718
1.113307,1.104809,0.097135,1.113307,1.107349
1.120044,1.112758,0.097135,1.120044,1.114018
1.126576,1.117606,0.097451,1.126576,1.117519
1.132902,1.127018,0.097451,1.132902,1.125373
1.139023,1.133079,0.097637,1.139023,1.136956
1.144937,1.140855,0.097637,1.144937,1.143535
1.150646,1.146106,0.097760,1.150646,1.151209
1.156150,1.152169,0.097760,1.156150,1.158072
1.161448,1.157060,0.097861,1.161448,1.162272
1.166542,1.162869,0.097861,1.166542,1.170250
1.171430,1.167387,0.097941,1.171430,1.176911
1.176115,1.172572,0.097941,1.176115,1.183237
1.180596,1.176354,0.098014,1.180596,1.188656
